               TSLPRBT-SI-FWE-2016 Arithmetic and Reasoning - Preliminary Key
Q.No   SET-A    SET-B       SET-C          SET-D        Q.No        SET-A     SET-B   SET-C   SET-D
 48     1         2           3               2            98        2         3       4       3
 49     2         1           1               3            99        4         3       1       4
 50     2         2           2               4           100        4         1       2       4
               TSLPRBT-SI-FWE-2016 Arithmetic and Reasoning - Preliminary Key
Q.No   SET-A     SET-B        SET-C        SET-D      Q.No       SET-A     SET-B    SET-C   SET-D
101      4         3            3            4        151          4         1        1       4
102      2         3            2            4        152          4         3        2       3
103      1         2            2            1        153          3         3        4       4
104      2         1            3            3        154          1         4        4       3
105     2          D            1           2          155         3            2    3       2
106     2          3            4           4          156         2            4    3       2
107     4          2            2           1          157         2            4    4       1
108     3          2            2           3          158         4            1    4       2
109     2          3            2           4          159         3            1    3       4
110     4          1            1           3          160         1            4    2       3
111     2          4            4           3          161         1            1    4       3
112     3          2            2           3          162         3            2    3       1
113     1          2            1           2          163         3            4    4       2
114     3          2            2           1          164         4            4    3       1
115     3          1            2           D          165         2            3    2       3
116     2          4            2           3          166         4            3    2       3
117     2          2            4           2          167         4            4    1       1
118     1          1            3           2          168         1            4    2       4
119     1          2            2           3          169         1            3    4       3
120     4          2            4           1          170         4            2    3       4
121     3          2            2           4          171         1            4    3       4
122     4          4            3           2          172         2            3    1       4
123     2          3            1           2          173         4            4    2       3
124     3          2            3           2          174         4            3    1       1
125     4          4            3           1          175         3            2    3       3
126     4          2            2           4          176         3            2    3       2
127     4          3            2           2          177         4            1    1       2
128     1          1            1           1          178         4            2    4       4
129     3          3            1           2          179         3            4    3       3
130     2          3            4           2          180         2            3    4       1
131     4          2            3           2          181         4            3    4       1
132     1          2            4           4          182         3            1    4       3
133     3          1            2           3          183         4            2    3       3
134     4          1            3           2          184         3            1    1       4
135     3          4            4           4          185         2            3    3       2
136     3          3            4           2          186         2            3    2       4
137     3          4            4           3          187         1            1    2       4
138     2          2            1           1          188         2            4    4       1
139     1          3            3           3          189         4            3    3       1
140     D          4            2           3          190         3            4    1       4
141     3          4            4           2          191         3            4    1       1
142     2          4            1           2          192         1            4    3       2
143     2          1            3           1          193         2            3    3       4
144     3          3            4           1          194         1            1    4       4
145     1          2            3           4          195         3            3    2       3
146     4          4            3           3          196         3            2    4       3
147     2          1            3           4          197         1            2    4       4
148     2          3            2           2          198         4            4    1       4
149     2          4            1           3          199         3            3    1       3
150     1          3            D           4          200         4            1    4       2
                       TSLPRBT-FWE-2016 GENERAL STUDIES
Q.No   SET-A   SET-B    SET-C   SET-D    Q.No    SET-A    SET-B   SET-C   SET-D
 1      4       3        4        2       51      2        1       4       3
  2     3       1        1        3      52       1        3       1       3
  3     2       2        2        2      53       3        4       1       1
  4     2       4        3        2      54       4        2       2       3
  5     1       3        4        1      55       4        4       2       2
  6     2       4        2        4      56       1        1       3       3
  7     4       1        3        3      57       3        3       4       1
  8     4       2        2        4      58       2        3       2       4
  9     4       3        2        4      59       4        2       3       1
 10     2       4        1        3      60       1        3       2       4
 11     3       2        4        4      61       3        4       3       3
 12     1       3        3        3      62       2        1       3       4
 13     2       2        4        2      63       3        1       1       1
 14     4       2        4        2      64       1        2       3       3
 15     3       1        3        1      65       1        2       2       3
 16     4       4        4        2      66       1        3       3       3
 17     1       3        3        4      67       2        4       1       4
 18     2       4        2        4      68       2        2       4       4
 19     3       4        2        4      69       2        3       1       1
 20     4       3        1        2      70       1        2       4       4
 21     2       4        2        3      71       3        3       3       2
 22     3       3        4        1      72       4        3       4       D
 23     2       2        4        2      73       3        1       1       1
 24     2       2        4        4      74       4        3       3       1
 25     1       1        2        3      75       3        2       3       3
 26     4       2        3        4      76       3        3       3       4
 27     3       4        1        1      77       1        1       4       3
 28     4       4        2        2      78       4        4       4       2
 29     4       4        4        3      79       1        1       1       4
 30     3       2        3        4      80       2        4       4       4
 31     2       3        4        1      81       2        3       2       3
 32     D       2        3        3      82       1        4       D       4
 33     1       1        3        4      83       3        1       1       1
 34     1       1        4        2      84       2        3       1       3
 35     3       2        2        4      85       3        3       3       3
 36     4       3        3        1      86       4        3       4       4
 37     3       3        2        3      87       4        4       3       3
 38     2       1        4        3      88       2        4       2       2
 39     4       2        3        2      89       3        1       4       2
 40     4       2        3        3      90       3        4       4       3
 41     3       4        1        4      91       3        2       3       2
 42     4       3        3        1      92       2        D       4       1
 43     1       3        4        1      93       1        1       1       3
 44     3       4        2        2      94       1        1       3       4
 45     3       2        4        2      95       2        3       3       4
 46     4       3        1        3      96       3        4       4       1
 47     3       2        3        4      97       3        3       3       3
 48     2       4        3        2      98       1        2       2       2
 49     2       3        2        3      99       2        4       2       4
 50     3       3        3        2      100      2        4       3       1
                               TSLPRBT-FWE-2016 GENERAL STUDIES

Q.No   SET-A   SET-B   SET-C    SET-D    Q.No     SET-A    SET-B   SET-C   SET-D
101      4       3       2        3      151        1        1       4       4
102      3       4       1        2      152        1        1       1       3
103      3       1       3        3      153        1        4       4       1
104      4       3       4        1      154        1        1       3       1
105      2       3       4        1      155        1        4       1       1
106      3       4       1        1      156        4        3       1       1
107      2       3       3        2      157        1        1       1       1
108      4       2       2        2      158        4        1       1       1
109      3       2       4        2      159        3        1       1       4
110      3       3       1        1      160        1        1       1       1
111      1       2       3        3      161        3        4       2       1
112      3       1       2        4      162        4        2       3       2
113      4       3       3        3      163        2        2       3       4
114      2       4       1        4      164        2        2       3       4
115      4       4       1        3      165        4        2       3       1
116      1       1       1        3      166        2        2       1       4
117      3       3       2        1      167        3        3       2       1
118      3       2       2        4      168        4        3       4       2
119      2       4       2        1      169        3        3       4       2
120      3       1       1        2      170        1        3       1       3
121      4       3       3        2      171        2        1       4       1
122      1       2       4        1      172        4        2       1       3
123      1       3       3        3      173        2        4       2       3
124      2       1       4        2      174        1        4       2       1
125      2       1       3        3      175        3        1       3       1
126      3       1       3        4      176        4        4       1       3
127      4       2       1        4      177        2        1       3       4
128      2       2       4        2      178        2        2       3       2
129      3       2       1        3      179        2        2       1       2
130      2       1       2        3      180        2        3       1       4
131      3       3       2        3      181        2        1       3       2
132      3       4       1        2      182        3        3       4       3
133      1       3       3        1      183        3        3       2       4
134      3       4       2        1      184        3        1       2       3
135      2       3       3        2      185        3        1       4       1
136      3       3       4        3      186        1        3       2       2
137      1       1       4        3      187        2        4       3       4
138      4       4       2        1      188        4        2       4       2
139      1       1       3        2      189        4        2       3       1
140      4       2       3        2      190        1        4       1       3
141      3       2       3        4      191        4        2       2       4
142      4       1       2        3      192        1        3       4       2
143      1       3       1        3      193        2        4       2       2
144      3       2       1        4      194        2        3       1       2
145      3       3       2        2      195        3        1       3       2
146      3       4       3        3      196        1        2       4       2
147      4       4       3        2      197        3        4       2       3
148      4       2       1        4      198        3        2       2       3
149      1       3       2        3      199        1        1       2       3
150      4       3       2        3      200        1        3       2       3

